data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,178081263,182788235,18,
2022,178081264,182788236,18,
2022,178081266,182788238,3,
2022,178081267,182788239,18,
2022,182948232,187598166,16,
2022,178081272,182788245,18,
2022,187224010,191813043,26,
2022,178080689,182787653,18,
2022,187224012,191813044,16,
2022,178082012,182789015,26,
2022,178082291,182789296,18,
2022,178080692,182787656,18,
2022,178082820,182789814,18,
2022,178082821,182789815,3,
2022,178083219,182790233,18,
2022,178083520,182790547,18,
2022,178083520,182790548,18,
2022,178083891,182790925,18,
2022,178083891,182790926,18,
2022,178083891,182790927,18,
2022,178083892,182790925,18,
2022,178083892,182790926,18,
2022,178083892,182790927,18,
2022,178084634,182791664,26,
2022,178077493,182784404,18,
2022,182927509,187577097,5,
2022,178077974,182784883,18,
2022,182927510,187577097,5,
2022,182872176,187521204,16,
2022,178078941,182785856,18,
2022,178079384,182786338,26,
2022,182872179,187521207,5,
2022,178079355,182786301,26,
2022,182872181,187521209,1,
2022,178079861,182786818,3,
2022,182872185,187521213,24,
2022,178079862,182786819,18,
2022,182872186,187521213,24,
2022,178080202,182787169,26,
2022,182872188,187521215,18,
2022,178080523,182787492,26,
2022,182872190,187521217,5,
2022,178080529,182787497,3,
2022,178080533,182787501,26,
2022,182860947,187509860,21,
2022,178080536,182787504,18,
2022,178080537,182787505,26,
2022,178080540,182787510,18,
2022,178080599,182787563,18,
2022,178080600,182787563,18,
2022,178080601,182787564,3,
2022,182872192,187521219,21,
2022,178080603,182787566,3,
2022,178080605,182787568,3,
2022,178080607,182787570,18,
2022,182916352,187565957,16,
2022,178080612,182787575,18,
2022,182916353,187565958,24,
2022,178080613,182787576,18,
2022,182916354,187565959,26,
2022,178080614,182787577,18,
2022,182916355,187565960,18,
2022,178080618,182787581,26,
2022,182891413,187540279,24,
2022,182916356,187565961,1,
2022,178080619,182787582,18,
2022,182916357,187565962,26,
2022,178080619,182787583,18,
2022,178080852,182787837,26,
2022,182916358,187565962,24,
2022,182916359,187565963,16,
2022,178080853,182787838,18,
2022,178080858,182787843,18,
2022,178080860,182787844,18,
2022,178080860,182787845,18,
2022,178080861,182787844,18,
2022,178080861,182787845,18,
2022,178080699,182787663,18,
2022,178080863,182787847,3,
